Well name,Stage,Interval top MD [m],Interval Base MD [m],Break Down Pressure [Kpa],ISIP,Total fluid pumped [m^3],Prop in formation [tonne],Avg pressure [Kpa],Inject rate avg [m^3/min],Proppant type 1 Format: [ Local sand 50/140 ],Proppant type 2 [ Local sand 40/70 ],Proppant type 3 [ Local sand 40/70 ],# of Clusters,TVT Ranges
IgorK_E_F,1,"4,333.93","4,395.00","42,500",,247.50,31,"53,700",4,,,,1,0.591
IgorK_E_F,2,"4,280.87","4,331.87","39,500",,224,31,"55,100",4.3,,,,1,0.099
IgorK_E_F,3,"4,227.80","4,278.81","38,500",,202.5,31,"57,300",4.9,,,,1,0.141
IgorK_E_F,4,"4,174.76","4,225.74","45,500",,201.00,31,"54,600",5.2,,,,1,0.614
IgorK_E_F,5,"4,122.09","4,172.70","53,000",,232.6,31,"54,800",5.9,,,,1,0.322
IgorK_E_F,6,"4,069.02","4,120.03","38,900",,209,31,"56,300",5.9,,,,1,0.054
IgorK_E_F,7,"4,015.98","4,066.96","50,000",,204.2,31,"53,200",6,,,,1,0.144
IgorK_E_F,8,"3,963.34","4,013.92","45,000",,201,31,"52,800",6,,,,1,0.203
IgorK_E_F,9,"3,910.29","3,961.28",,,240,31,"48,400",6.2,,,,1,0.473
IgorK_E_F,10,"3,857.24","3,908.23","46,500",,212,31,"47,000",6,,,,1,0.059
IgorK_E_F,11,"3,804.68","3,855.18",,,198.5,31,"46,300",6,,,,1,1.394
IgorK_E_F,12,"3,757.19","3,802.62","38,000",,188,31,"45,300",6,,,,1,1.242
IgorK_E_F,13,"3,709.97","3,755.13","38,100",,195,31,"49,100",5.8,,,,1,1.221
IgorK_E_F,14,"3,662.81","3,707.91",,,177,31,"48,600",5.8,,,,1,0.234
IgorK_E_F,15,"3,615.25","3,660.75",,,205,31,"49,000",6,,,,1,0.169
IgorK_E_F,16,"3,568.64","3,613.19","38,600",,183,31,"45,700",6,,,,1,0.07
IgorK_E_F,17,"3,513.30","3,566.58","38,300",,182.5,31,"43,600",6,,,,1,0.008
IgorK_E_F,18,"3,464.51","3,511.24","38,200",,216.7,31,"46,300",6.3,,,,1,0.399
IgorK_E_F,19,"3,260.00","3,410.20","56,400",,703.6,123.8,"51,400",8.5,,,,1,0.561
IgorK_E_F,20,"3,060.00","3,210.20","56,000",,640.7,124.2,"52,700",8.2,,,,1,2.505
IgorK_E_F,21,"2,860.00","3,010.20","51,300",,637.3,124.2,"53,300",8.2,,,,1,1.03
IgorK_E_F,22,"2,610.00","2,810.20","54,000",,735.1,155.2,"55,200",9.3,,,,1,3.009
IgorK_E_F,23,"2,360.00","2,560.20","57,900",,804.7,155.5,"53,000",9.4,,,,1,14.54
IgorK_E_H,1,"4,346.26","4,350.36","56,200",,438.60,61.2,"51,000",5.8,,,,1,0.019
IgorK_E_H,2,"4,095.00","4,245.20","53,800",,669.2,120,"56,100",6.1,,,,4,1.026
IgorK_E_H,3,"3,895.00","4,045.20","42,400",,854,120,"54,000",8,,,,4,0.977
IgorK_E_H,4,"3,695.00","3,845.20","45,700",,656.00,120,"52,200",8,,,,4,1.966
IgorK_E_H,5,"3,445.00","3,645.20","60,000",,727.2,150,"53,000",6.6,,,,4,0.23
IgorK_E_H,6,"3,195.00","3,395.20","53,000",,680,150,"56,000",6.5,,,,5,4
IgorK_E_H,7,"2,945.00","3,145.20","48,000",,713.9,150,"56,000",6,,,,5,6.939
IgorK_E_H,8,"2,695.00","2,895.20","53,000",,695,150.1,"53,000",8.6,,,,5,0.149
IgorK_E_H,9,"2,425.00","2,645.20","38,000",,668,150.2,"54,000",9.0,,,,5,31.462
IgorK_E_K,1,"4,676.55","4,680.65","52,200",,409.8,61.2,"52,200",5.3,,,,1,0.013
IgorK_E_K,2,"4,425.00","4,575.20","43,200",,686.6,124.3,"57,200",6,,,,4,0.809
IgorK_E_K,3,"4,225.00","4,375.20","58,900",,835.30,155.4,"54,000",6.7,,,,4,0.105
IgorK_E_K,4,"3,925.00","4,125.20","42,800",,777.2,155.4,"56,700",7.2,,,,5,0.088
IgorK_E_K,5,"3,675.00","3,875.20","42,100",,779.5,155.6,"55,200",7.7,,,,5,1.786
IgorK_E_K,6,"3,425.00","3,625.20","46,700",,922.5,155.2,"56,300",7.1,,,,5,0.177
IgorK_E_K,7,"3,175.00","3,375.20","60,000",,730.4,155.4,"53,800",5.1,,,,5,0.567
IgorK_E_K,8,"2,925.00","3,125.20","48,900",,662.9,124.1,"49,900",6.6,,,,5,4.581
IgorK_E_K,9,"2,675.00","2,875.20","58,800",,738.6,155.5,"55,800",5.2,,,,5,0.631
IgorK_E_K,10,"2,405.00","2,625.20","48,300",,711.4,150.6,"54,500",9.8,,,,5,62.671
